2 hrs,4 hrs,6 hrs
0,24.08745,51.1709
108.3389,57.80988,104.4739
36.11296,63.22956,59.69939
36.11296,72.26235,18.36904
0,45.16397,66.33265
0,48.1749,49.74949
108.3389,72.26235,59.69939
0,30.96958,51.1709
108.3389,72.26235,95.51902
54.16944,72.26235,79.59918
0,48.1749,23.87976
0,72.26235,89.54908
0,54.19677,51.1709
0,72.26235,74.62423
12.03765,36.13118,102.3418
36.11296,28.90494,89.54908
0,63.22956,119.3988
0,72.26235,95.51902
36.11296,72.26235,89.54908
0,0,79.59918
108.3389,0,73.47617
54.16944,0,59.69939
0,0,92.86571
0,43.35741,79.59918
0,24.08745,39.79959
0,18.06559,29.84969
0,36.13118,51.1709
0,24.08745,119.3988
18.05648,24.08745,119.3988
29.54697,0,53.06612
0,54.19677,39.79959
0,53.39526,43.12586
0,0,57.50115
0,0,54.88746
0,11.86561,50.31351
0,0,86.25172
23.76839,38.83292,64.6888
0,71.19368,32.3444
0,0,86.25172
0,106.7905,43.12586
0,0,43.12586
17.82629,26.69763,86.25172
0,106.7905,71.87644
0,106.7905,86.25172
0,0,21.56293
0,0,21.56293
0,26.69763,86.25172
0,106.7905,64.6888
0,0,86.25172
13.36972,106.7905,0
0,0,0
17.82629,-1,17.25035
0,-1,0
0,-1,57.50115
53.47887,-1,86.25172
0,-1,86.25172
5.942097,-1,34.50069
0,-1,86.25172
0,-1,43.12586
80.21832,-1,28.75058
0,-1,32.3444
0,-1,86.25172
